attempt_id,test_id,operation,provider,model_or_voice,region,input_revision,output_path,status,wait_seconds,input_tokens,output_tokens,image_count,audio_seconds,estimated_without_quota_cny,settled_external_cny,billing_state,quality_result
20260914-01-text,V02,text_generation,aliyun_bailian,qwen-flash,cn-beijing,已有剧本初测,.local/model-testing/runs/20260914-01/text,response_received,4.63,286,450,,,0.0007179,,未核对账单,遗漏必留动作
20260914-01-image,V03,text_to_image,aliyun_bailian,qwen-image-2.0,cn-beijing,C01初图,.local/model-testing/runs/20260914-01/character,response_received,2.87,,,1,,0.20,,未核对账单,未通过_左右和成年造型偏差
20260914-03-speech,V04,offline_speech,windows_local,Microsoft Huihui Desktop,local_zh-CN,D01临时音频,.local/model-testing/runs/20260914-03/local-speech,audio_saved,0.55,,,,3.1045,0,0,本地无外部费用,文件与时长通过_听感未评
20260914-04-r2,V03,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,C01原图局部修订,.local/model-testing/runs/20260914-04/c01-r2-front,response_received,6.24,,,1,,0.20,,未核对账单,未通过_发饰保留且头发变长
20260914-04-r3-front,V03,text_to_image,aliyun_bailian,qwen-image-2.0,cn-beijing,C01文字基准对照,.local/model-testing/runs/20260914-04/c01-r3-front,response_received,2.92,,,1,,0.20,,未核对账单,评审候选_成年造型改善_双耳可见
20260914-04-r3-angle,V03,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,C01新正面参考换角度,.local/model-testing/runs/20260914-04/c01-r3-threequarter,response_received,4.86,,,1,,0.20,,未核对账单,评审候选_身份服装基本一致_未最终采用
20260914-05-c01,V03,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,C01双参考右前方,.local/model-testing/runs/20260914-05/c01-right,response_received,6.30,,,1,,0.20,,未核对账单,未通过_多人物及长发大眼漂移
20260914-05-c02,V06,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,C02人物图仅画风参考,.local/model-testing/runs/20260914-05/c02-cat,response_received,4.75,,,1,,0.20,,未核对账单,未通过_缺耳方向短尾及背槽光状态偏差
20260914-05-p01-ref,V06,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,P01人物图仅画风参考,.local/model-testing/runs/20260914-05/p01-lamp,response_received,3.86,,,1,,0.20,,未核对账单,未通过_额外手部及过宽底座
20260914-05-l01-ref,V07,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,L01人物图仅画风参考,.local/model-testing/runs/20260914-05/l01-awning,response_received,5.52,,,1,,0.20,,未核对账单,未通过_空景混入人物
20260914-05-p01-text,V06,text_to_image,aliyun_bailian,qwen-image-2.0,cn-beijing,P01无人物参考纯文字,.local/model-testing/runs/20260914-05/p01-text-control,response_received,2.06,,,1,,0.20,,未核对账单,独立道具评审候选_背槽配合未验证
20260914-05-l01-text,V07,text_to_image,aliyun_bailian,qwen-image-2.0,cn-beijing,L01无人物参考纯文字,.local/model-testing/runs/20260914-05/l01-text-control,response_received,3.73,,,1,,0.20,,未核对账单,空景构图候选_檐下雨区待复核
20260914-06-c01-right-single,V03,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,C01单参考右侧,.local/model-testing/runs/20260914-06/c01-right-single,response_received,5.57,,,1,,0.20,,未核对账单,单人改善_发长别发及比例未通过
20260914-06-c02-text,V06,text_to_image,aliyun_bailian,qwen-image-2.0,cn-beijing,C02纯文字修订,.local/model-testing/runs/20260914-06/c02-text,response_received,3.18,,,1,,0.20,,未核对账单,缺耳空槽改善_短尾等待修_临时配套参考
20260914-06-l01-dry-plate,V07,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,L01清雨底图编辑,.local/model-testing/runs/20260914-06/l01-dry-plate,response_received,5.35,,,1,,0.20,,未核对账单,未通过_雨丝水花和檐下积水仍在
20260914-06-lamp-fit,V06,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,C02_P01双参考静态落座,.local/model-testing/runs/20260914-06/lamp-fit,response_received,6.4,,,1,,0.20,,未核对账单,落座候选_槽边和画风漂移_无动作视频
20260915-07-s03,V05,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,S03诊断关键帧,.local/model-testing/runs/20260915-07/s03,response_received,5.62,,,1,,0.20,,未核对账单,嘴部可见_新增发饰台灯_非合格身份基准
20260915-07-s04,V06,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,S04诊断关键帧,.local/model-testing/runs/20260915-07/s04,response_received,7.52,,,1,,0.20,,未核对账单,持灯与空槽可见_手侧未确证_雨区错误
20260915-07-s01,V07,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,S01诊断关键帧,.local/model-testing/runs/20260915-07/s01,response_received,10.04,,,1,,0.20,,未核对账单,一人一猫一灯_新增发饰_猫眼状态待验
20260915-07-s02,V07,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,S02诊断关键帧,.local/model-testing/runs/20260915-07/s02,response_received,5.53,,,1,,0.20,,未核对账单,额外挂灯_眼灯未暗_场景和背槽发光偏差
20260915-07-s05,V07,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,S05诊断关键帧,.local/model-testing/runs/20260915-07/s05,response_received,6.1,,,1,,0.20,,未核对账单,背灯暗眼灯亮_地面画风与比例漂移
20260915-07-s06,V07,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,S06诊断关键帧,.local/model-testing/runs/20260915-07/s06,response_received,7.24,,,1,,0.20,,未核对账单,闭唇微笑_新增光源和纹理偏差
20260915-07-s07,V07,image_edit,aliyun_bailian,qwen-image-2.0,cn-beijing,S07诊断关键帧,.local/model-testing/runs/20260915-07/s07,response_received,7.59,,,1,,0.20,,未核对账单,角色位置与背灯状态可辨_场景和脸型漂移
