test_id,sample_id,status,provider,model_version,region,input_revision,output_path,manual_seconds,wait_seconds,estimated_cny,settled_cny,billing_state,quality_result,evidence,next_action
V01,B01,部分完成,aliyun_bailian,configured_models,cn-beijing,metadata_and_speech_handshake,.local/model-testing/runs/20260914-02/speech-handshake/record.json,,,,,握手无推理_生成账目见V02_V03,仅验证部分接口,HTTP200元数据_语音空间握手成功0.31秒_无run-task,云端配音延期_先用离线配音验证文件和时长
V02,B03,部分完成,aliyun_bailian,qwen-flash,cn-beijing,雨夜借光已有剧本_20260914_01,.local/model-testing/runs/20260914-01/text,,4.63,0.0007179,,未核对账单_已确认赠额保护,未通过_遗漏松手和时长镜头约束,HTTP200_输入286输出450token_离线恢复响应编码,按原文离线补齐必留项并复核
V03,B01,部分完成,aliyun_bailian,qwen-image-2.0,cn-beijing,C01四轮视角对照,docs/06-验证记录与参考依据.md,,28.76,1.20,,未核对账单_已确认赠额保护,r3候选保留_单参考去重_发型仍未通过,累计6张_2次文生图4次编辑,准备实际S03角度的发型局部修订材料
V04,B01,部分完成,windows_local,Microsoft Huihui Desktop,local_zh-CN,D01台词_离线临时配音,.local/model-testing/runs/20260914-03/local-speech,,0.55,0,0,离线无外部服务费用_非云端账单,文件和时长通过_听感及口型未评估,WAV_PCM16_24kHz_单声道_3.1045秒_云端调用0次,听审台词与情绪_云端正式配音另行评测
V05,B01,部分完成,aliyun_bailian,qwen-image-2.0+wan2.6-i2v-flash,cn-beijing,S03首帧及音频驱动视频,docs/06-验证记录与参考依据.md,,45.40,1.40,,未核对云端账单_本地处理无外部费用,音频输入与口动路径成立_口型精度和身份未通过,720x1280_4秒视频_音频相关0.99909_无200ms达标声明,保留原片_精确口型及听感留作质量发布门槛
V06,B01,部分完成,aliyun_bailian,qwen-image-2.0+wan2.6-i2v-flash,cn-beijing,资产配套及S04动作视频,docs/06-验证记录与参考依据.md,,53.13,1.95,,未核对云端账单_本地处理无外部费用,看到放入松手_左手侧与场景一致性仍未通过,720x1280_5秒_同一灯落座后手离开_已归档原片,采用基准修订后复核手侧结构与动作连续性
V07,B01,部分完成,aliyun_bailian+local_ffmpeg,qwen-image-2.0+ffmpeg9.0.1,cn-beijing+local,七镜头静态与混合诊断预演,docs/06-验证记录与参考依据.md,,51.10,1.60,,未核对云端账单_本地处理无外部费用,30秒预演已生成_画面质量未通过,七关键帧加S04尾帧_两版MP4_完整解码检查,根据预演缺陷进入针对性质量任务_可先开发本地可靠性底座
V08,B01,未执行,未配置,未核对,未配置,完整样片,,,,,,未调用,未评估,无实测证据,预演确认后执行
V09,B01,部分完成,aliyun_bailian,wan2.6-i2v-flash,cn-beijing,两次真实task_id查询与下载,docs/06-验证记录与参考依据.md,,,,,查询下载无新推理_费用已计入V05_V06,原任务查询下载通过_应用崩溃恢复尚未实现,2个原任务各查询1次并下载_无重复生成,实现后注入断网退出与响应丢失验证
V10,B01,未执行,不适用,不适用,不适用,成片评审,,,,,,不适用,未评估,无实测证据,媒体与两名评审就绪后执行
V11,B01-B06,未执行,未配置,未核对,未配置,六样片配对方案,,,,,,未调用,未评估,无实测证据,完成单样片验证后执行
